Class1,Class2,Class3,Class4,Reason,StockCode,StockName
W,AI,B,0,0,065950,웰크론
W,AI,B,0,0,083550,케이엠
W,AI,C,0,0,006890,태경화학
W,AI,C,0,0,014580,백광소재
W,AI,C,0,0,083660,CSA코스믹
W,AI,D,0,0,104040,대성파인텍
E,MU,0,0,0,026890,디피씨
E,MU,0,0,0,061970,엘비세미콘
E,MU,0,0,0,060570,아이리버
E,MU,0,0,0,054780,키이스트
E,MU,0,0,0,251270,넷마블
E,MU,0,0,0,068290,삼성출판사
E,MU,0,0,0,039830,오로라
E,MU,0,0,0,215480,토박스코리아
E,MU,0,0,0,032800,판타지오
E,MU,0,0,0,035900,JYP
